source_row_index,place_id,custom_id,embedding_row,has_embedding,embedding_text_hash,error,usage_total_tokens
0,ChIJaX6OBQD_sUARpsOX3IMt2R4,location_0_ChIJaX6OBQD_sUARpsOX3IMt2R4,0,True,e86e286ebaca328affe102cf956b4b9e1cf08c6a8e74bef0bcdeb3dac3b2bf02,,416
1,ChIJ_xaqNQMCskAR8aQ8oHos1Ro,location_1_ChIJ_xaqNQMCskAR8aQ8oHos1Ro,1,True,850254ad55dc1e94db644e82524bed12684fe8389e36c9f626956ad20b8fe8b4,,568
2,ChIJnUA9FgD_sUAR2ooJ3CWb0Zc,location_2_ChIJnUA9FgD_sUAR2ooJ3CWb0Zc,2,True,1a03c43358d8e8b754b69d7f5501c15f69b551625ec8a8ff120c33eea4a9900e,,476
3,ChIJAQAckz__sUARPQnYMKtxIRQ,location_3_ChIJAQAckz__sUARPQnYMKtxIRQ,3,True,059da87008f78ebbd452de6b4bf2bf4eb6ee96fa83869f49275cdd498cac9087,,628
4,ChIJbYXdJwD_sUAR2yjbAGOKJPM,location_4_ChIJbYXdJwD_sUAR2yjbAGOKJPM,4,True,dc81af8a188a974b05c637645ae8577546eba6121daa8f036661b548f000ae18,,560
5,ChIJrRz_N5j_sUAReHHbh0ZcBlw,location_5_ChIJrRz_N5j_sUAReHHbh0ZcBlw,5,True,1172b5c8739b9b187c109ba463ea810615b63d1b82e3b1629b29bf5c29cb7f9a,,597
6,ChIJt2RQCJ7_sUARWXvXE7IIORg,location_6_ChIJt2RQCJ7_sUARWXvXE7IIORg,6,True,4f9149edebc4e030f333b06cba6e850725e2d635ab74f494cbba178906f72474,,589
7,ChIJTcMzKgD_sUARRP16DLrUKFU,location_7_ChIJTcMzKgD_sUARRP16DLrUKFU,7,True,4311735a1c7813fbeaee2d8e7629eee615982d72635b0b134fdc1563e7710fff,,369
8,ChIJYRw_Y83_sUARMdUkJ_zovRw,location_8_ChIJYRw_Y83_sUARMdUkJ_zovRw,8,True,a4ddc93692e4918c248bbf5303aa4f17c511a1f0d48a739a0f732b5fbcf133de,,523
9,ChIJi4adDnsCskARKZC58K1UUqg,location_9_ChIJi4adDnsCskARKZC58K1UUqg,9,True,8beccf56ff260ecb0c9195864ee7217db7659f0015575ddddd628976a3661eca,,469
10,ChIJYSbL9Xj4sUARWa17OInVHKY,location_10_ChIJYSbL9Xj4sUARWa17OInVHKY,10,True,5faf27cc7619e873d37cd74dfa4c5fb4a903033d2134f5e94b2a9e87ea8bd7a5,,427
11,ChIJNUeTiTYDskARUTlmbM2oB4c,location_11_ChIJNUeTiTYDskARUTlmbM2oB4c,11,True,2c1c84a597285af9eaa1f28d71dc4aee96d11c91f901a2646cf2ad462310af39,,445
12,ChIJl-JoaZIDskARIcbi5JXg86g,location_12_ChIJl-JoaZIDskARIcbi5JXg86g,12,True,e140ebd50ca36f9add4c560a34b5d23e85faeb6faeaf968da0f4b0ed59360b69,,436
13,ChIJs7gmmAIBskARYoXwB3uhmuo,location_13_ChIJs7gmmAIBskARYoXwB3uhmuo,13,True,b6b293c5314816dc1ff73cd24bb9d81e8693acd801d8a9dd91358a73ec56aab1,,489
14,ChIJ8QCfo73_sUARfCBFR3hVje0,location_14_ChIJ8QCfo73_sUARfCBFR3hVje0,14,True,25c899d3398e966ab22670dc19253330d61e66b26f01495d038152031f11fdd0,,550
15,ChIJF_WM2fQDskAR5OqyAz_9Loo,location_15_ChIJF_WM2fQDskAR5OqyAz_9Loo,15,True,ca562eb2ff4e072faa31c4ac98a069617bfa200f724fd528af0233cd30faefc7,,532
16,ChIJ8T5Gq2P_sUARNvA4-IMcuPw,location_16_ChIJ8T5Gq2P_sUARNvA4-IMcuPw,16,True,ef7328524a35294462a6cb9900e5370bbd3c920423f1acd553430d10a072801f,,498
17,ChIJed-lbgD_sUAR4ZniyZPhDsc,location_17_ChIJed-lbgD_sUAR4ZniyZPhDsc,17,True,3e85b08c55dbcece11ca36b212f1ef9dcb2d41acc623ad4aa7b67b4078508c0d,,406
18,ChIJ1Tq3cDsDskARjOzp9wO9pT4,location_18_ChIJ1Tq3cDsDskARjOzp9wO9pT4,18,True,f69c09740ff0a45f1ebe1757a43ad4e0fe75649a6d2d4cae8dd49a7db0f81890,,463
19,ChIJB9kjyFT_sUARopWXq82fKd8,location_19_ChIJB9kjyFT_sUARopWXq82fKd8,19,True,648fde1e72e7449dce7c9cbb153425283873f8edfb23eeed08b833ad8ccaaa81,,588
20,ChIJR3wmCQD_sUAR3_Zt-06kyW8,location_20_ChIJR3wmCQD_sUAR3_Zt-06kyW8,20,True,a3818fe15262ddae855f66c74e7c6d9c128f005642ecba5dc4d5512eb6fd2bd2,,398
21,ChIJj7yddgD5sUAR3Cn8xlmTsXg,location_21_ChIJj7yddgD5sUAR3Cn8xlmTsXg,21,True,790f73f345f99964673f0d6a1739482839861837dba1ab959ecb07822d26502e,,412
22,ChIJEYRjakcCskARyPSQOLGQn70,location_22_ChIJEYRjakcCskARyPSQOLGQn70,22,True,b84dd99ba9adfb7d6a2006df5eef4d8a866adf8c5b74f6e1270ffb5601dc3155,,605
23,ChIJxed8me7_sUARtLSq8D_SQi0,location_23_ChIJxed8me7_sUARtLSq8D_SQi0,23,True,740295a9a7f2b3e1db119619fbff19fb817c86e7984641d4d05819d1ff8650a6,,584
24,ChIJb6CQZBr_sUARtU0kT_UH41o,location_24_ChIJb6CQZBr_sUARtU0kT_UH41o,24,True,513916be60b46384d510f5ac13b3544fe73c5f180209495df9989d06c5aa809d,,556
25,ChIJjwqZka4BskARy8i416pJfWg,location_25_ChIJjwqZka4BskARy8i416pJfWg,25,True,bc1d691a01a87c58db076af9759945f79bc2417c67694c07e57ae2ff22e23810,,583
26,ChIJ52NZYwADskARZRgmcwjkuC8,location_26_ChIJ52NZYwADskARZRgmcwjkuC8,26,True,f556b900d4aec04a2674be67a1a72697bc7ee3d23ac2c126b9b441f022208a07,,547
27,ChIJH31Hi4v5sUARcgO_c6lAphY,location_27_ChIJH31Hi4v5sUARcgO_c6lAphY,27,True,90c34fa78cf65e753defbba321a86966b3f4a64d32740d701abf81a96beb1778,,522
28,ChIJwyl1guH5sUAROxvXOVuKdQ8,location_28_ChIJwyl1guH5sUAROxvXOVuKdQ8,28,True,937e7bfe28cae1baa22c0f7e2b320f6314e5187f62f4f287178f4d66c5d20d35,,478
29,ChIJq_dIwSX-sUARq4VV9lHH778,location_29_ChIJq_dIwSX-sUARq4VV9lHH778,29,True,f3a2af9a89b15cd9206124271dd8b9c65b4820855006564a0db3a75e6745d941,,596
30,ChIJDb7FSSn5sUARRhwXqqgy6i8,location_30_ChIJDb7FSSn5sUARRhwXqqgy6i8,30,True,70d3a892ec35c1691a1c9efe676cf03a82cabdfd315c7ef5ef150c578e165d5c,,568
31,ChIJexeFnvADskARTEkhKthe6uM,location_31_ChIJexeFnvADskARTEkhKthe6uM,31,True,11a72f111cd5bd0b4d8433821219dd6cfaf0f9f71059205c492a3e0ef0ce76e8,,426
32,ChIJ5cQSv8X_sUART3znhMJSbxg,location_32_ChIJ5cQSv8X_sUART3znhMJSbxg,32,True,75b919b395fa53fc6bfbce956ce3ad41f35d918b31db5b872515574a19d53c59,,509
33,ChIJ7ziBMQD5sUARKIKAxAToq4o,location_33_ChIJ7ziBMQD5sUARKIKAxAToq4o,33,True,4f2896fd3f937d9feb7a01ea1d38e7a7be496aae3352d34184f9902cd3e2aa98,,457
